"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"232",2015-10-26,415.25,417.5,411.75,417,5,417.5,132,3438
"233",2015-10-23,410.5,412.5,409.5,412.5,0.75,412.5,73,3422
"234",2015-10-22,413,415,412,412,1.75,411.75,63,3393
"235",2015-10-21,410.5,412.5,410.5,412.25,0.75,413.5,93,3414
"236",2015-10-20,410.5,412.5,410,411.25,2.25,412.75,58,3401
"237",2015-10-19,412.5,412.75,410.75,410.75,3.75,410.5,78,3370
"238",2015-10-16,413.5,414,411.5,414,0.75,414.25,247,3356
"239",2015-10-15,414.5,416,413,413.5,2.5,413.5,80,3322
"240",2015-10-14,419.5,419.5,415,415.75,3.5,416,143,3268
"241",2015-10-13,416.25,418.5,415.5,419.5,3.25,419.5,159,3276
"242",2015-10-12,416.5,417.75,416,416.25,0.75,416.25,42,3275
"243",2015-10-09,421.25,423.5,416.25,419.25,4.75,417,256,3262
"244",2015-10-08,425,425,421.5,421.5,4.5,421.75,92,3232
"245",2015-10-07,428,428.5,424,426,1.75,426.25,154,3141
"246",2015-10-06,423.5,428,423.5,426.75,4.5,428,219,3092
"247",2015-10-05,419.75,423.5,419.75,423.5,4.25,423.5,50,3062
"248",2015-10-02,420,420.25,415.75,419.5,0.75,419.25,80,3054
"249",2015-10-01,420,423.75,418.25,420,0.5,420,144,3004
"250",2015-09-30,419.75,423.75,415.75,420.5,1.25,420.5,401,2907
"251",2015-09-29,419,420,417,419,0.75,419.25,34,2906
"252",2015-09-28,420,422,417,418.75,1.75,418.5,141,2926
"253",2015-09-25,414.25,420,414.25,420,5.75,420.25,630,2991
"254",2015-09-24,415.5,415.5,413.75,414,2.75,414.5,52,2969
"255",2015-09-23,417,417.5,414.75,417,2.5,417.25,9,2965
"256",2015-09-22,416,416,414.25,414.5,4.75,414.75,9,2965
"257",2015-09-21,412.5,419.25,411.75,419.25,6.75,419.5,22,2966
"258",2015-09-18,413,414.5,411,413,0.25,412.75,37,2951
"259",2015-09-17,418,418,414.25,415,5.25,413,56,2901
"260",2015-09-16,420,420,417.25,417.5,3,418.25,391,2877
"261",2015-09-15,425,425,421.25,421.75,3,421.25,221,2901
"262",2015-09-14,421.75,424.5,419.25,423.75,4.25,424.25,196,2891
"263",2015-09-11,408.75,420,402.75,419.75,11.75,420,453,2769
"264",2015-09-10,404.25,408.75,403,408.25,3.5,408.25,295,2777
"265",2015-09-09,407,407,402.25,404.5,1,404.75,89,2818
"266",2015-09-08,402,402.25,401.25,401.75,4.5,403.75,62,2801
"267",2015-09-04,399,400.5,398.5,399,0.5,399.25,396,2667
"268",2015-09-03,402.5,402.5,398.5,399.25,3.75,398.75,428,2481
