"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"208",2014-11-14,420,421,415.25,NA,5,416,4631,26376
"209",2014-11-13,413,423.25,413,417.5,7.5,421,5450,25076
"210",2014-11-12,408.75,419.75,408.75,412.25,3.75,413.5,4404,25174
"211",2014-11-11,405,410.25,401.75,NA,4.5,409.75,2374,25040
"212",2014-11-10,400.5,413,400.5,NA,2.25,405.25,2725,24999
"213",2014-11-07,405.5,406.25,400,402,3.5,403,2376,25045
"214",2014-11-06,404.5,409,402,408,1.75,406.5,3510,24882
"215",2014-11-05,397.75,405.5,393.75,NA,6,404.75,2329,24912
"216",2014-11-04,406,406,398.5,NA,8,398.75,2346,25228
"217",2014-11-03,408.25,408.25,404,NA,3.5,406.75,1919,24871
"218",2014-10-31,407,411,402.5,NA,1.75,410.25,3234,24906
"219",2014-10-30,408.75,413.25,405.25,NA,0.75,408.5,2987,24647
"220",2014-10-29,400.5,409.75,400.25,NA,8.75,409.25,3919,24615
"221",2014-10-28,399.75,406.5,397,403.25,0.75,400.5,4663,24954
"222",2014-10-27,389.5,399.75,386.25,NA,9.5,399.75,3707,24726
"223",2014-10-24,395.75,401.5,389.5,392.75,6.25,390.25,3388,24398
"224",2014-10-23,388.5,396.5,388.25,NA,6.25,396.5,3391,24268
"225",2014-10-22,392.25,397,389.5,NA,2.5,390.25,3739,24686
"226",2014-10-21,385,395.25,384.75,NA,7.25,392.75,2827,24364
"227",2014-10-20,382.5,386,379.5,382,1,385.5,1398,24318
"228",2014-10-17,388,390.75,383.25,NA,4,384.5,1624,24252
"229",2014-10-16,384.5,389.25,382,386.5,4,388.5,1377,24208
"230",2014-10-15,392,394.25,383.25,NA,9.25,384,2028,24590
"231",2014-10-14,382.5,394.25,379.75,NA,10.25,393.25,4710,25161
"232",2014-10-13,369.25,384.25,369.25,NA,11.25,383,1389,25086
"233",2014-10-10,380.25,384.25,370.5,NA,9.75,371.75,4354,25118
"234",2014-10-09,378.25,384.75,378.25,381.75,0.75,381.5,4032,24626
"235",2014-10-08,378,380.5,375.5,378.5,2.75,380.75,2060,24672
"236",2014-10-07,369.25,379,368,NA,8.25,378,2938,24771
"237",2014-10-06,360.75,370,360.75,NA,9,369.75,1077,24741
"238",2014-10-03,360,362.5,358.75,NA,1,360.75,1346,24320
"239",2014-10-02,356,360,356,NA,2,359.75,1876,24045
"240",2014-10-01,356.5,359.5,354.25,NA,1,357.75,1042,23617
"241",2014-09-30,361,361.5,356,NA,4.5,356.75,2081,23680
"242",2014-09-29,358.5,362,358,361,2.5,361.25,975,23667
"243",2014-09-26,362,362.75,358.75,NA,3.5,358.75,2399,23675
"244",2014-09-25,365.5,366.5,361.25,NA,3.25,362.25,1157,23596
"245",2014-09-24,361.75,365.75,361,NA,4,365.5,2786,23058
"246",2014-09-23,365.5,365.75,361.25,NA,4,361.5,1818,22578
"247",2014-09-22,367,367,362.75,365,2,365.5,2993,21785
"248",2014-09-19,373.25,373.25,367.25,369.5,6.5,367.5,2576,21261
"249",2014-09-18,377.25,377.25,373.75,NA,3.25,374,2302,21146
"250",2014-09-17,378,378,375,376.25,2,377.25,1792,20972
"251",2014-09-16,378.5,384.5,374.25,NA,1,379.25,2167,20515
"252",2014-09-15,371.5,378.5,371.5,NA,4,378.25,1234,20612
"253",2014-09-12,377.25,379,373.25,NA,2.75,374.25,1266,20770
"254",2014-09-11,379.5,379.5,372,377.75,4,377,3704,20298
"255",2014-09-10,379.5,382.25,378.75,NA,0.75,381,1940,20534
"256",2014-09-09,384,384,379.5,NA,4,380.25,2440,20082
"257",2014-09-08,390,393.25,382.5,NA,7.5,384.25,1803,20014
"258",2014-09-05,386.75,392.25,383.25,NA,8.75,391.75,2469,19932
"259",2014-09-04,388,389.25,380,NA,5,383,5102,18974
"260",2014-09-03,397.75,397.75,387.75,NA,10.5,388,3237,17561
"261",2014-09-02,398,401.25,397,NA,1,398.25,1139,17317
"262",2014-08-29,401.75,402.5,397,NA,4,399.25,2094,17099
"263",2014-08-28,399.5,403,399.25,NA,3,403.25,3848,16883
"264",2014-08-27,400.25,400.5,397.25,NA,0.25,400.25,1147,16775
"265",2014-08-26,402.75,402.75,397,NA,1.5,400.5,1130,16530
"266",2014-08-25,401,403.25,399.75,402,2.75,402,1935,16187
"267",2014-08-22,404.25,406.75,402.75,NA,2,404.75,641,15987
"268",2014-08-21,401.5,406,400.5,NA,1.25,402.75,660,15796
"269",2014-08-20,405.75,405.75,399.5,NA,5,401.5,905,15666
"270",2014-08-19,404.5,406.75,402,NA,0.25,406.5,844,15620
"271",2014-08-18,411.75,414.25,405.5,NA,5.25,406.25,1290,15383
"272",2014-08-15,406.75,413.25,406.75,NA,3.5,411.5,1578,15615
"273",2014-08-14,402.5,409,402.5,NA,4,408,1094,14987
"274",2014-08-13,402.25,404.5,399.75,NA,1,404,1368,14719
